"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5"
"1","exponential_weight",100,100,180,1.25,0.727143880558814,0.12551909229134,2.25360864301127
"2","exponential_weight",100,100,180,1.5,0.611081507064159,0.117703195229159,2.29564718761813
"3","exponential_weight",100,100,180,2,0.69454248691009,0.182095423997358,2.07223600597428
"4","exponential_weight",100,100,180,2.8,4.20175281080982,0.960460679503704,14.4159048735196
"5","bi_linear_weight",100,100,180,1.25,2.31714796436448,0.577507435905631,8.31526602157373
"6","bi_linear_weight",100,100,180,1.5,0.644342495472637,0.204571154593438,1.49590477008854
"7","bi_linear_weight",100,100,180,2,3.60316461873145,1.14094629386826,18.2824277695636
"8","bi_linear_weight",100,100,180,2.8,2.97192979765874,0.875997957201778,8.50981037917011
"9","early_peak_weight",100,100,180,1.25,1.02310950985149,0.2584116054799,3.32591798256646
"10","early_peak_weight",100,100,180,1.5,2.02665293746394,0.567677811796111,8.3896386518749
"11","early_peak_weight",100,100,180,2,4.53497495398991,1.34348250806609,19.351722569997
"12","early_peak_weight",100,100,180,2.8,3.84857407647836,0.501400700366574,25.489729255664
"13","inverted_u_weight",100,100,180,1.25,0.732654794146316,0.223882302225628,1.64255653011946
"14","inverted_u_weight",100,100,180,1.5,3.73553635587378,0.807541185156795,14.9483733240425
"15","inverted_u_weight",100,100,180,2,2.52845263084319,0.617764730616642,10.8570635027712
"16","inverted_u_weight",100,100,180,2.8,4.87496351483833,1.4307214968135,19.073818692918
"17","exponential_weight",1000,100,180,1.25,1.53038878693576,1.04049372674088,2.0515755269951
"18","exponential_weight",1000,100,180,1.5,1.27314326443643,0.883103770208804,1.81525070635876
"19","exponential_weight",1000,100,180,2,1.30008054145144,0.894461666964989,1.75436871997652
"20","exponential_weight",1000,100,180,2.8,1.98827738985365,1.21605298791806,2.80003374411541
"21","bi_linear_weight",1000,100,180,1.25,1.43945207322069,0.966542377239362,1.83094249112204
"22","bi_linear_weight",1000,100,180,1.5,1.36080153839216,0.998867349175902,1.83938124767098
"23","bi_linear_weight",1000,100,180,2,1.96195614283743,1.45232037893066,2.73285747039366
"24","bi_linear_weight",1000,100,180,2.8,2.62110488814669,1.62717358526306,3.74246432387715
"25","early_peak_weight",1000,100,180,1.25,1.24037487001973,0.926709561093887,1.80845503515253
"26","early_peak_weight",1000,100,180,1.5,1.34646872581263,0.985909783575939,1.74433940914437
"27","early_peak_weight",1000,100,180,2,2.71612696169382,1.89208428824908,4.18495624689111
"28","early_peak_weight",1000,100,180,2.8,1.36719885599301,0.868011566206153,2.12160414237743
"29","inverted_u_weight",1000,100,180,1.25,1.63068879286914,1.01666757601688,2.30931402283896
"30","inverted_u_weight",1000,100,180,1.5,1.24706059845957,0.87218682696071,1.72687459863607
"31","inverted_u_weight",1000,100,180,2,1.82399660873522,1.33181923971133,2.71425336181185
"32","inverted_u_weight",1000,100,180,2.8,3.21811525940432,2.35440929450923,4.47450024275527
"33","exponential_weight",10000,100,180,1.25,1.16628855094726,1.03524319313158,1.30489837344335
"34","exponential_weight",10000,100,180,1.5,1.62401693548965,1.47238583027024,1.79627533394198
"35","exponential_weight",10000,100,180,2,1.85808104289232,1.6991356150614,2.03588657082866
"36","exponential_weight",10000,100,180,2.8,2.92318819842065,2.63861129435723,3.25775478602033
"37","bi_linear_weight",10000,100,180,1.25,1.28985684029235,1.16880779231081,1.4177102033604
"38","bi_linear_weight",10000,100,180,1.5,1.52318142470197,1.35824919299669,1.68727617416113
"39","bi_linear_weight",10000,100,180,2,1.9784987604871,1.77284096190247,2.19129399685369
"40","bi_linear_weight",10000,100,180,2.8,2.95765947976199,2.67147905521933,3.33347812080544
"41","early_peak_weight",10000,100,180,1.25,1.23283914581366,1.11958695142326,1.36819937768334
"42","early_peak_weight",10000,100,180,1.5,1.49229525457643,1.358082514916,1.70015241643725
"43","early_peak_weight",10000,100,180,2,2.17561957379355,1.91637151489031,2.43085450517458
"44","early_peak_weight",10000,100,180,2.8,2.44286404156276,2.17797477180973,2.73462514993811
"45","inverted_u_weight",10000,100,180,1.25,1.36299816983256,1.22131581601516,1.57576917094543
