"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"1","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-1_1",1,"exponential_scenario",100,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,512.777279637566,0.738097408887816,0.203094242706774,2.37553959273235
"2","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-2_1",1.25,"exponential_scenario",100,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,547.679419662875,1.17435752249758,0.484609414874048,3.43608767769025
"3","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-3_1",1.5,"exponential_scenario",100,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,551.804774087021,1.29752681373133,0.346603504889577,7.22603271218985
"4","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-4_1",2,"exponential_scenario",100,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,567.919023977323,1.7775731955708,0.426429333161303,8.2064882319011
"5","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-5_1",2.8,"exponential_scenario",100,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,575.740812185331,2.28356961922597,0.748492104702506,7.09469181507228
"6","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-6_1",1,"exponential_scenario",200,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1303.87554281855,1.06917025878261,0.568365865759631,2.12465275190567
"7","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-7_1",1.25,"exponential_scenario",200,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1296.60190840539,1.02871829324054,0.609778282081707,1.73379915226885
"8","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-8_1",1.5,"exponential_scenario",200,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1263.1287640277,1.11988640477806,0.550652632033498,2.36217639126485
"9","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-9_1",2,"exponential_scenario",200,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1197.89878016764,1.48957841100692,0.650718524559425,3.92369852742887
"10","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-10_1",2.8,"exponential_scenario",200,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1268.76754689701,2.64375776447539,1.56116805071895,5.36144831336199
"11","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-11_1",1,"exponential_scenario",500,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,3751.19729151061,0.717740111672598,0.454084317054069,1.06251297393037
"12","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-12_1",1.25,"exponential_scenario",500,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,3950.11314744801,0.945370125993527,0.631229174034956,1.44224128834746
