"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"1","2024-04-25 : variability simulation 1000 - 10000_condition-1_1",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8411.08646955441,1.41853291562103,1.0119184158222,2.02463079163773
"2","2024-04-25 : variability simulation 1000 - 10000_condition-1_2",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8749.62250242888,1.41747878047549,1.1235135763029,1.85555325340409
"3","2024-04-25 : variability simulation 1000 - 10000_condition-1_3",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8633.36116979981,1.25410970090976,0.921419178376776,1.65998453928745
"4","2024-04-25 : variability simulation 1000 - 10000_condition-1_4",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8759.94960486309,1.5182090568347,1.085532729197,2.12734634209801
"5","2024-04-25 : variability simulation 1000 - 10000_condition-1_5",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8609.5895692587,1.22157300250619,0.9095025513851,1.63832982574119
"6","2024-04-25 : variability simulation 1000 - 10000_condition-1_6",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8526.92414567733,1.12532502132886,0.85443007968847,1.52576664624472
"7","2024-04-25 : variability simulation 1000 - 10000_condition-1_7",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8894.07060347051,2.053377506654,1.55617693146667,2.79288539156673
"8","2024-04-25 : variability simulation 1000 - 10000_condition-1_8",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8886.85181120323,1.53110047324225,1.12513624092302,2.14039774167157
"9","2024-04-25 : variability simulation 1000 - 10000_condition-1_9",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8962.41380474632,2.01630268211328,1.39849794904393,2.89869291466801
"10","2024-04-25 : variability simulation 1000 - 10000_condition-1_10",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8525.39279271376,1.26909222295547,0.911980448908692,1.73544083503781
"11","2024-04-25 : variability simulation 1000 - 10000_condition-1_11",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8748.17513003649,1.38038645499769,0.981452384133889,1.89655419123051
"12","2024-04-25 : variability simulation 1000 - 10000_condition-1_12",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8620.43063615323,1.12918587248809,0.820153697544499,1.54462930985782
"13","2024-04-25 : variability simulation 1000 - 10000_condition-1_13",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8999.25688017155,1.32617038842534,0.972537954883585,1.77456114755842
"14","2024-04-25 : variability simulation 1000 - 10000_condition-1_14",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8612.77297644044,1.04631196933942,0.745213305742416,1.45851542058473
"15","2024-04-25 : variability simulation 1000 - 10000_condition-1_15",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8529.87181614834,1.34510027696707,0.888550094611777,1.93533704746155
"16","2024-04-25 : variability simulation 1000 - 10000_condition-1_16",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8916.54695629719,1.59313664224415,1.16186725824535,2.15727130490704
"17","2024-04-25 : variability simulation 1000 - 10000_condition-1_17",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8813.99850230536,1.59007815348988,1.22878656857501,2.08597207647392
"18","2024-04-25 : variability simulation 1000 - 10000_condition-1_18",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8581.82870598552,1.00303997478722,0.686358478068763,1.43563657701616
"19","2024-04-25 : variability simulation 1000 - 10000_condition-1_19",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8882.72474018926,1.36199406713405,0.970034903762304,1.95310100886687
"20","2024-04-25 : variability simulation 1000 - 10000_condition-1_20",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,9171.23371656869,1.2333915320767,0.911107728372349,1.67945378293201
"21","2024-04-25 : variability simulation 1000 - 10000_condition-2_1",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122163.148503709,1.51959347922576,1.37380089998315,1.66140492442382
"22","2024-04-25 : variability simulation 1000 - 10000_condition-2_2",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,120303.714612954,1.36851883916651,1.24261751636395,1.51442881316448
"23","2024-04-25 : variability simulation 1000 - 10000_condition-2_3",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121830.942325663,1.49002717406634,1.35761705100619,1.64304956105488
"24","2024-04-25 : variability simulation 1000 - 10000_condition-2_4",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121665.403583563,1.50942374256696,1.36768664858689,1.65547418835444
"25","2024-04-25 : variability simulation 1000 - 10000_condition-2_5",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122021.165521217,1.61385674233401,1.46576082933089,1.78372379424764
"26","2024-04-25 : variability simulation 1000 - 10000_condition-2_6",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121815.459164957,1.58945373146492,1.43555181248005,1.75665538014576
"27","2024-04-25 : variability simulation 1000 - 10000_condition-2_7",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121379.334839417,1.53838609352782,1.3937120210099,1.69511039399992
"28","2024-04-25 : variability simulation 1000 - 10000_condition-2_8",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,120565.386672207,1.40368088561514,1.27003513258251,1.55275645787922
"29","2024-04-25 : variability simulation 1000 - 10000_condition-2_9",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122269.084198541,1.3345728126625,1.22008524689969,1.47533801634882
"30","2024-04-25 : variability simulation 1000 - 10000_condition-2_10",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121505.766321667,1.40516056319376,1.27679169517863,1.55555652560641
"31","2024-04-25 : variability simulation 1000 - 10000_condition-2_11",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122058.247059831,1.45404464731527,1.31876204756937,1.60888474759098
"32","2024-04-25 : variability simulation 1000 - 10000_condition-2_12",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122583.598161572,1.55980578050836,1.41869743867096,1.7247614267358
"33","2024-04-25 : variability simulation 1000 - 10000_condition-2_13",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121025.396133041,1.42294881278118,1.30030673166064,1.56891721636176
"34","2024-04-25 : variability simulation 1000 - 10000_condition-2_14",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121783.215237163,1.53519458229676,1.40866355864697,1.70986573147127
"35","2024-04-25 : variability simulation 1000 - 10000_condition-2_15",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121233.298432638,1.45077191909431,1.31049780862103,1.60375433643635
"36","2024-04-25 : variability simulation 1000 - 10000_condition-2_16",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122138.829582262,1.53940382363453,1.40250592687357,1.7038075316005
"37","2024-04-25 : variability simulation 1000 - 10000_condition-2_17",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121829.897871758,1.42335463654217,1.28025076461033,1.56460592106057
"38","2024-04-25 : variability simulation 1000 - 10000_condition-2_18",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121772.339406407,1.53501448986659,1.39988177636536,1.70063143298225
"39","2024-04-25 : variability simulation 1000 - 10000_condition-2_19",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121338.691435237,1.49854192274002,1.34973401540807,1.65836175878541
"40","2024-04-25 : variability simulation 1000 - 10000_condition-2_20",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,120451.089419029,1.58719323725416,1.42232499132194,1.75818260252157
