"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"1","2024-04-25 : variability simulation 100000_condition-1_1",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8634.47258385937,1.08604529268182,0.789517598263183,1.50987438034295
"2","2024-04-25 : variability simulation 100000_condition-1_2",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8530.51882682967,1.38547768264219,1.00403029967813,1.96606337706972
"3","2024-04-25 : variability simulation 100000_condition-1_3",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8996.15702640398,1.48571518142153,1.11031056796973,2.01462625319822
"4","2024-04-25 : variability simulation 100000_condition-1_4",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8740.2427519406,1.46461168559005,1.06888286583219,2.01807581764026
"5","2024-04-25 : variability simulation 100000_condition-1_5",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8689.46860529186,1.69920893388227,1.29143787440055,2.34062960736731
"6","2024-04-25 : variability simulation 100000_condition-1_6",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8840.94245103583,1.33036095425999,0.978518277885204,1.80682046472529
"7","2024-04-25 : variability simulation 100000_condition-1_7",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8798.35738565875,1.48068921530889,1.10360579022894,1.98360263523199
"8","2024-04-25 : variability simulation 100000_condition-1_8",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8570.19269762891,1.71993091313816,1.2920401309051,2.30587693498017
"9","2024-04-25 : variability simulation 100000_condition-1_9",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8875.73059594562,1.83414940977115,1.33186252602885,2.59358763512992
"10","2024-04-25 : variability simulation 100000_condition-1_10",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8605.27461662572,1.48723509498291,1.0932284516858,2.0125080177461
"11","2024-04-25 : variability simulation 100000_condition-1_11",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8478.0032878993,1.11739294915553,0.808279945646084,1.52580326053891
"12","2024-04-25 : variability simulation 100000_condition-1_12",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8815.45080772229,1.6956913135317,1.28438966275751,2.22896690587945
"13","2024-04-25 : variability simulation 100000_condition-1_13",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8548.22699846165,1.28936184541117,0.967751970529134,1.75242838825474
"14","2024-04-25 : variability simulation 100000_condition-1_14",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8501.77597275019,1.69215497844065,1.19374807776473,2.36043293840191
"15","2024-04-25 : variability simulation 100000_condition-1_15",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8765.54717430388,1.69721811904646,1.24677706901093,2.2983832445209
"16","2024-04-25 : variability simulation 100000_condition-1_16",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8736.4483782759,1.29627411097185,0.931456156037892,1.83806306278064
"17","2024-04-25 : variability simulation 100000_condition-1_17",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8800.49766350165,1.60974305674999,1.15837862041025,2.25236945587814
"18","2024-04-25 : variability simulation 100000_condition-1_18",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8548.05189915616,1.47650630029854,1.07051917711427,2.0319657368785
"19","2024-04-25 : variability simulation 100000_condition-1_19",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8649.2698774842,1.10183857771712,0.80880665486327,1.53320967199644
"20","2024-04-25 : variability simulation 100000_condition-1_20",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8423.96763736075,1.17896227812372,0.833288549137857,1.65566862871054
"21","2024-04-25 : variability simulation 100000_condition-1_21",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8716.08166625852,1.78483128087395,1.30544363775684,2.54205254175191
"22","2024-04-25 : variability simulation 100000_condition-1_22",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8728.71528336154,1.24236972461707,0.922216634428028,1.64397494192385
"23","2024-04-25 : variability simulation 100000_condition-1_23",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8495.19508763563,1.7790568179822,1.27210669849689,2.45942773218942
"24","2024-04-25 : variability simulation 100000_condition-1_24",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8747.6601463774,1.10288452021528,0.840778711475635,1.45836885671872
"25","2024-04-25 : variability simulation 100000_condition-1_25",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8753.57729165758,1.5295543555125,1.16311206371391,2.09724623830184
"26","2024-04-25 : variability simulation 100000_condition-1_26",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8689.97229774459,1.80934517153549,1.27833645019596,2.57883276954996
"27","2024-04-25 : variability simulation 100000_condition-1_27",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8299.46664999113,1.2480134070148,0.934067030009185,1.70330366161515
"28","2024-04-25 : variability simulation 100000_condition-1_28",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8403.08052553276,1.29710042603928,0.996615772631304,1.67748683722693
"29","2024-04-25 : variability simulation 100000_condition-1_29",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8975.69092496251,1.30912615629787,0.953947487793278,1.80634705191206
"30","2024-04-25 : variability simulation 100000_condition-1_30",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8676.80277814342,1.31414805618374,0.947279349475505,1.82688744035488
"31","2024-04-25 : variability simulation 100000_condition-1_31",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8794.11038272906,1.39079349819718,1.05958025515466,1.83585725400239
"32","2024-04-25 : variability simulation 100000_condition-1_32",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8559.76970427108,1.40449122777006,1.00837055703707,1.97270078139219
"33","2024-04-25 : variability simulation 100000_condition-1_33",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8590.94235357325,1.39160802106155,1.02208857950635,1.93466743787177
"34","2024-04-25 : variability simulation 100000_condition-1_34",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8820.43546866656,1.41470963621923,1.0471211029139,1.95611961086988
"35","2024-04-25 : variability simulation 100000_condition-1_35",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8806.47073775406,1.62424761415566,1.22739829969223,2.17890310395459
"36","2024-04-25 : variability simulation 100000_condition-1_36",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8439.88101186088,1.98706766400494,1.42639173643498,2.83439117307879
"37","2024-04-25 : variability simulation 100000_condition-1_37",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8788.75985539618,1.64173110425817,1.19884504307736,2.28522440024044
"38","2024-04-25 : variability simulation 100000_condition-1_38",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8907.0541252425,1.44290636640004,1.0193939312144,2.01021749919709
