"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"1","bi_linear_weight",100,1000,180,1.25,2.31714796436448,0.57020484872516,7.70924789503523,504.809788074727,1
"2","bi_linear_weight",100,1000,180,1.5,0.644342495472637,0.175977926202102,1.74338622696832,570.856935140653,1
"3","bi_linear_weight",100,1000,180,2,3.60316461873145,0.894154383902606,14.7946260213394,538.228210702011,1
"4","bi_linear_weight",100,1000,180,2.8,2.97192979765874,0.964682816967069,9.17624577677901,534.437407339139,1
"5","bi_linear_weight",200,1000,180,1.25,1.32365907628928,0.589906786772904,2.86535590528355,1180.82170093578,1
"6","bi_linear_weight",200,1000,180,1.5,1.6833513936713,0.722908817278791,3.78215621206271,1238.70315482666,1
"7","bi_linear_weight",200,1000,180,2,1.5523150574059,0.485308544311011,5.03360610619269,1262.31802736576,1
"8","bi_linear_weight",200,1000,180,2.8,1.59891297027265,0.658659930902652,3.79785210603423,1222.0449094043,1
"9","bi_linear_weight",500,1000,180,1.25,0.93269140644802,0.553357591846598,1.51202356621898,3913.97109969566,1
"10","bi_linear_weight",500,1000,180,1.5,1.89835821602004,1.18070717030464,3.18329234522224,4125.81804150848,1
"11","bi_linear_weight",500,1000,180,2,1.63908412818066,0.927738932501347,2.81902342931285,3751.90332224934,1
"12","bi_linear_weight",500,1000,180,2.8,4.77938531095221,2.69984734641425,8.2919578340896,3619.82425955669,1
"13","bi_linear_weight",1000,1000,180,1.25,1.43945207322069,1.00649145615295,2.02981973912131,8680.39528422249,1
"14","bi_linear_weight",1000,1000,180,1.5,1.36080153839216,0.942018110940893,1.92291974165279,8907.51865376348,1
"15","bi_linear_weight",1000,1000,180,2,1.96195614283743,1.40784633529743,2.75456018323232,8533.38597453214,1
"16","bi_linear_weight",1000,1000,180,2.8,2.62110488814669,1.69633624634646,3.81295069824406,8470.71585932455,1
"17","bi_linear_weight",2000,1000,180,1.25,1.37774745234974,1.10318101222171,1.72614675827862,19456.7260567256,1
"18","bi_linear_weight",2000,1000,180,1.5,1.62778637682773,1.25658952766544,2.08156024405003,19446.2045995356,1
"19","bi_linear_weight",2000,1000,180,2,1.67366971200336,1.2805581861571,2.20026668203079,19615.6528210487,1
"20","bi_linear_weight",2000,1000,180,2.8,1.96375655743174,1.40807567459604,2.65077900893753,18843.3478081159,1
"21","bi_linear_weight",5000,1000,180,1.25,1.36828604910772,1.17708813768176,1.60685190349704,55087.6083225811,1
"22","bi_linear_weight",5000,1000,180,1.5,1.61966834184157,1.38810788399228,1.86636598436498,55221.6153493312,1
"23","bi_linear_weight",5000,1000,180,2,1.73727307481025,1.47414777074375,2.01302771306812,55205.2509727741,1
"24","bi_linear_weight",5000,1000,180,2.8,2.61799196658133,2.20416632888705,3.06863366270791,54964.4747436551,1
"25","bi_linear_weight",10000,1000,180,1.25,1.28985684029235,1.16960212498856,1.42239637310165,122396.079266789,1
"26","bi_linear_weight",10000,1000,180,1.5,1.52318142470197,1.37133503224665,1.68790577196486,120967.605489937,1
"27","bi_linear_weight",10000,1000,180,2,1.9784987604871,1.78360800801712,2.18395828527782,120811.144112163,1
"28","bi_linear_weight",10000,1000,180,2.8,2.95765947976199,2.60492079013836,3.31783935428706,119344.730208607,1
"29","bi_linear_weight",20000,1000,180,1.25,1.19773158103891,1.10619578814457,1.28090254210467,264351.499816628,1
"30","bi_linear_weight",20000,1000,180,1.5,1.51356678343389,1.40288300196985,1.64294206022364,264303.200638585,1
"31","bi_linear_weight",20000,1000,180,2,1.98659240899863,1.8370239104169,2.14879517230646,263250.795059153,1
"32","bi_linear_weight",20000,1000,180,2.8,2.84182882142344,2.59847258694589,3.08813950440408,259026.17495995,1
"33","bi_linear_weight",50000,1000,180,1.25,1.23495561357561,1.17996651284785,1.29350037703078,729080.58992443,1
"34","bi_linear_weight",50000,1000,180,1.5,1.44189373036561,1.37580131463048,1.51034595347528,727220.652998456,1
"35","bi_linear_weight",50000,1000,180,2,2.0317967325613,1.93809081381213,2.1416454303535,726376.629443571,1
"36","bi_linear_weight",50000,1000,180,2.8,2.63472000471176,2.48441452428144,2.77631707892648,718400.071434817,1
"37","bi_linear_weight",100000,1000,180,1.25,1.22294658161886,1.18179359547203,1.26567534206348,1558994.16907825,1
"38","bi_linear_weight",100000,1000,180,1.5,1.45424334027251,1.40523449476565,1.50461538968937,1562857.56531149,1
"39","bi_linear_weight",100000,1000,180,2,1.93985050966705,1.87709810599329,2.01277314578204,1551941.79697868,1
