"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"1","early_peak_weight",100,1000,180,1.25,1.02310950985149,0.206614836166959,3.47988440494087,522.710328282585,1
"2","early_peak_weight",100,1000,180,1.5,2.02665293746394,0.487233785023284,7.39819669790101,569.269534109159,1
"3","early_peak_weight",100,1000,180,2,4.53497495398991,1.22138440673862,20.2083601988373,542.99236335751,1
"4","early_peak_weight",100,1000,180,2.8,3.84857407647836,0.318554422079659,40.6521533019683,485.418797910228,1
"5","early_peak_weight",200,1000,180,1.25,1.84525438696088,0.944106364901071,3.82441822694505,1239.80907834901,1
"6","early_peak_weight",200,1000,180,1.5,0.36490309496305,0.145561342071383,0.897896735435926,1338.92118416428,1
"7","early_peak_weight",200,1000,180,2,2.25630803467694,0.880826726699897,4.98663935911557,1358.18107955003,1
"8","early_peak_weight",200,1000,180,2.8,2.22467620392324,0.944571216749778,4.7430854940552,1187.73631703287,1
"9","early_peak_weight",500,1000,180,1.25,1.69899825894478,1.09366420501539,2.58435667153586,3936.32838743825,1
"10","early_peak_weight",500,1000,180,1.5,1.16695151383416,0.676664042801459,1.86285473451517,3860.81778976156,1
"11","early_peak_weight",500,1000,180,2,3.19606192994278,1.8670487364377,5.62644711678884,3951.18776553059,1
"12","early_peak_weight",500,1000,180,2.8,3.15586743844973,1.58495872429724,6.70874525230007,3704.70439920947,1
"13","early_peak_weight",1000,1000,180,1.25,1.24037487001973,0.851261700338457,1.82054805161251,8613.42687638761,1
"14","early_peak_weight",1000,1000,180,1.5,1.34646872581263,0.967855638809838,1.80270276093245,9045.67954252149,1
"15","early_peak_weight",1000,1000,180,2,2.71612696169382,1.84752132826698,3.87623565562037,8316.03627650291,1
"16","early_peak_weight",1000,1000,180,2.8,1.36719885599301,0.840695171539179,2.21263759259963,8337.31196208358,1
"17","early_peak_weight",2000,1000,180,1.25,1.32615881401878,1.04678322919881,1.67581182229445,19154.9417456717,1
"18","early_peak_weight",2000,1000,180,1.5,1.32652907783708,1.03659067828313,1.70536907855403,19568.1106889582,1
"19","early_peak_weight",2000,1000,180,2,1.81113549792751,1.38362651640585,2.32043149532798,18916.3437903431,1
"20","early_peak_weight",2000,1000,180,2.8,2.31654265585641,1.73284072702755,3.0477327753433,19326.0902211382,1
"21","early_peak_weight",5000,1000,180,1.25,1.33266873155279,1.14004558051411,1.56376793437079,55786.334917636,1
"22","early_peak_weight",5000,1000,180,1.5,1.39725729889134,1.19438562240081,1.61648219049097,55254.053406343,1
"23","early_peak_weight",5000,1000,180,2,1.91512856468831,1.64715809251046,2.21705507204197,55035.2882305617,1
"24","early_peak_weight",5000,1000,180,2.8,2.56355415400996,2.12840119360896,3.00391664954016,54707.442028653,1
"25","early_peak_weight",10000,1000,180,1.25,1.23283914581366,1.09467647326919,1.38268850977081,122470.529236652,1
"26","early_peak_weight",10000,1000,180,1.5,1.49229525457643,1.33875655498117,1.65865786533569,122176.172238719,1
"27","early_peak_weight",10000,1000,180,2,2.17561957379355,1.93245037201299,2.44459865090048,121207.201981706,1
"28","early_peak_weight",10000,1000,180,2.8,2.44286404156276,2.17513169447833,2.75040634039542,119992.680479876,1
"29","early_peak_weight",20000,1000,180,1.25,1.25245206237786,1.16457072151258,1.33846278480684,263478.220211928,1
"30","early_peak_weight",20000,1000,180,1.5,1.34518170338418,1.24644134107529,1.44206442238083,264357.186407363,1
"31","early_peak_weight",20000,1000,180,2,1.86623866306051,1.71909917153181,2.02487043574468,262511.179440481,1
"32","early_peak_weight",20000,1000,180,2.8,2.49104565106249,2.30395304126196,2.72223846223322,260755.369214036,1
"33","early_peak_weight",50000,1000,180,1.25,1.22749974619547,1.1687126399846,1.28590721294953,727273.664388551,1
"34","early_peak_weight",50000,1000,180,1.5,1.45478542462324,1.38435589385833,1.52497237127381,726629.748075175,1
"35","early_peak_weight",50000,1000,180,2,1.85837813557751,1.7678916183715,1.95375697158959,722508.338241493,1
"36","early_peak_weight",50000,1000,180,2.8,2.43589944540394,2.30322137984117,2.56792799235457,716551.675388345,1
"37","early_peak_weight",100000,1000,180,1.25,1.24147196320445,1.20135022754281,1.28375019581825,1567331.92374938,1
"38","early_peak_weight",100000,1000,180,1.5,1.43531259243998,1.3856876312073,1.48255726218785,1562791.76402799,1
"39","early_peak_weight",100000,1000,180,2,1.86238719980898,1.7950761371923,1.92804341229018,1553541.03985767,1
"40","early_peak_weight",100000,1000,180,2.8,2.43162412957275,2.33590164626875,2.5182997463157,1549518.5437668,1
"41","early_peak_weight",100,1000,180,1.25,1.30397225398333,0.261846226542312,4.88539230426588,525.29984446874,2
"42","early_peak_weight",100,1000,180,1.5,1.58972047799199,0.297932756487432,6.9537349696057,573.591064359087,2
"43","early_peak_weight",100,1000,180,2,6.80796521098402,1.44089492090277,60.4055514708888,544.573030039424,2
"44","early_peak_weight",100,1000,180,2.8,7.20742133323825,0.619093243608284,78.184337581173,486.042372891127,2
"45","early_peak_weight",200,1000,180,1.25,1.78393055973909,0.874551657504087,4.08392814669492,1246.00762686525,2
"46","early_peak_weight",200,1000,180,1.5,0.383651601966818,0.120092177817469,1.08760665124138,1343.32923753642,2
"47","early_peak_weight",200,1000,180,2,2.49797046709064,0.959180434496741,6.08031114093833,1360.00018087547,2
"48","early_peak_weight",200,1000,180,2.8,3.16869060101536,1.25338412520115,7.92114836273387,1193.07751444633,2
"49","early_peak_weight",500,1000,180,1.25,1.89955818486228,1.21939081795012,2.97947515256718,3935.80222565008,2
"50","early_peak_weight",500,1000,180,1.5,1.20500470094792,0.653756353932092,2.03200027216319,3850.8396719119,2
"51","early_peak_weight",500,1000,180,2,4.52706053873145,2.28539123757567,8.98261793335225,3944.15918835068,2
"52","early_peak_weight",500,1000,180,2.8,5.44398773982245,2.35542582913329,12.2247169769694,3701.93058721093,2
"53","early_peak_weight",1000,1000,180,1.25,1.40457723419958,0.90093727807204,2.07611518167971,8608.46856793087,2
"54","early_peak_weight",1000,1000,180,1.5,1.54092513986493,1.0668953490231,2.15150503308388,9035.67373508073,2
"55","early_peak_weight",1000,1000,180,2,2.82050461008213,1.82264126192743,4.41179269727045,8330.67393930857,2
"56","early_peak_weight",1000,1000,180,2.8,1.56399809693954,0.972241874721144,2.61157153217158,8324.1418687156,2
"57","early_peak_weight",2000,1000,180,1.25,1.27287820465315,0.976223243141213,1.61986361571226,19147.2507624581,2
"58","early_peak_weight",2000,1000,180,1.5,1.61319860110041,1.21243421788133,2.11405251292404,19582.1960234286,2
"59","early_peak_weight",2000,1000,180,2,2.22778626203211,1.65473796856824,2.92140004518449,18934.316321369,2
"60","early_peak_weight",2000,1000,180,2.8,3.03632349286813,2.28449919907129,4.01600294163072,19324.3350324812,2
"61","early_peak_weight",5000,1000,180,1.25,1.33262162139161,1.12571335584934,1.56317562352394,55858.0604435668,2
"62","early_peak_weight",5000,1000,180,1.5,1.52069801364369,1.25431129194658,1.81655013374008,55229.5064910094,2
"63","early_peak_weight",5000,1000,180,2,2.10738888550576,1.74575981336324,2.52025461478757,54985.5932839782,2
"64","early_peak_weight",5000,1000,180,2.8,3.02696717009209,2.51911767696527,3.56306361453119,54659.1722465374,2
"65","early_peak_weight",10000,1000,180,1.25,1.27308415195941,1.13029897612098,1.4425808028101,122455.633992619,2
"66","early_peak_weight",10000,1000,180,1.5,1.66262387869974,1.47478282579535,1.87305862033355,122322.617518813,2
"67","early_peak_weight",10000,1000,180,2,2.41787839358779,2.1194204143408,2.72502629209498,121170.189194358,2
"68","early_peak_weight",10000,1000,180,2.8,2.96030249202048,2.58173030015532,3.41725441203696,119998.96351223,2
"69","early_peak_weight",20000,1000,180,1.25,1.33927030449679,1.23955541739553,1.44975129191037,263440.739266946,2
"70","early_peak_weight",20000,1000,180,1.5,1.48542960710332,1.3760614987979,1.60956506193281,264293.121876484,2
"71","early_peak_weight",20000,1000,180,2,2.16551318443373,1.99021373046486,2.37796678882313,262462.213326891,2
"72","early_peak_weight",20000,1000,180,2.8,2.90154106698534,2.62272408376727,3.18913452366283,260559.642519756,2
"73","early_peak_weight",50000,1000,180,1.25,1.28034165548559,1.21506999400056,1.34670870369603,727016.586705568,2
"74","early_peak_weight",50000,1000,180,1.5,1.56116305925908,1.48018578844743,1.64602004608141,726239.585808567,2
"75","early_peak_weight",50000,1000,180,2,2.07920411395022,1.96960876724392,2.19316087832043,722213.417488657,2
"76","early_peak_weight",50000,1000,180,2.8,2.91912901559783,2.73983511180832,3.09112693572777,716181.339038626,2
"77","early_peak_weight",100000,1000,180,1.25,1.2849634001458,1.23792043696834,1.33220517966465,1567573.09937417,2
"78","early_peak_weight",100000,1000,180,1.5,1.53142438457615,1.47360197308264,1.59369172347026,1562659.64874565,2
"79","early_peak_weight",100000,1000,180,2,2.07927856662351,1.99988661854368,2.15868448172434,1553868.77551856,2
"80","early_peak_weight",100000,1000,180,2.8,2.91339555885024,2.78015045378713,3.0275806471824,1548922.36131407,2
"81","early_peak_weight",100,1000,180,1.25,1.37170410373855,0.268641965130827,7.62664309779874,530.674748197619,3
"82","early_peak_weight",100,1000,180,1.5,1.82977064545359,0.248533443898566,8.78076252468433,577.016175266974,3
"83","early_peak_weight",100,1000,180,2,2.6744442831762,0.199967179934252,37.6960359929196,544.435564763331,3
"84","early_peak_weight",100,1000,180,2.8,7.48894697194863,0.332544746898178,150.745224022529,490.792354488238,3
"85","early_peak_weight",200,1000,180,1.25,1.5752931549972,0.69676819933005,3.68198780885564,1242.7262997101,3
"86","early_peak_weight",200,1000,180,1.5,0.308138927759461,0.0876534033822955,0.934963282005135,1349.34994422887,3
"87","early_peak_weight",200,1000,180,2,1.98416730798145,0.634963299487502,5.19722427013475,1361.91935397824,3
"88","early_peak_weight",200,1000,180,2.8,2.50171645286605,0.808862500549445,6.69249440675601,1195.69560321722,3
"89","early_peak_weight",500,1000,180,1.25,2.13886684144052,1.29675866513975,3.59884489912625,3949.54273866661,3
"90","early_peak_weight",500,1000,180,1.5,1.25334492152052,0.63827756147299,2.26574955409836,3869.39640025365,3
"91","early_peak_weight",500,1000,180,2,4.39980021102714,1.93376169293567,9.89625226346019,3938.98604085827,3
"92","early_peak_weight",500,1000,180,2.8,6.3386576699429,2.724283248606,15.8249304829692,3709.15369928466,3
"93","early_peak_weight",1000,1000,180,1.25,1.36883703878348,0.811330483564373,2.18124679091625,8606.29512275539,3
"94","early_peak_weight",1000,1000,180,1.5,1.47563750054062,1.00518628195142,2.10701513788981,9035.20885488607,3
"95","early_peak_weight",1000,1000,180,2,2.86339796559969,1.63939836422158,4.75163031820829,8351.06762555173,3
"96","early_peak_weight",1000,1000,180,2.8,1.4829134482863,0.858408719212919,2.44291659668345,8306.08671773044,3
"97","early_peak_weight",2000,1000,180,1.25,1.25107114905251,0.935582132543748,1.68237141488962,19163.0671757289,3
"98","early_peak_weight",2000,1000,180,1.5,1.70369839317226,1.27210850215473,2.28483279426397,19574.2732270397,3
"99","early_peak_weight",2000,1000,180,2,2.03542933167753,1.45274830286603,2.82272644099943,18939.8702254417,3
"100","early_peak_weight",2000,1000,180,2.8,2.88206374357953,2.08080277769393,3.92456212590516,19311.1508067147,3
"101","early_peak_weight",5000,1000,180,1.25,1.2905794381484,1.07667030554015,1.52527063758387,55865.9133288726,3
