"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"1","inverted_u_weight",100,1000,180,1.25,0.732654794146316,0.210503126658617,1.7295335311797,544.180679574082,1
"2","inverted_u_weight",100,1000,180,1.5,1.12224156190232,0.297535683869881,3.47765816233932,491.53378563928,1
"3","inverted_u_weight",100,1000,180,2,2.52845263084319,0.701012668994409,10.4283984819593,472.341065376483,1
"4","inverted_u_weight",100,1000,180,2.8,1.87890061260197,0.313416522773745,8.64282562653198,528.535334836497,1
"5","inverted_u_weight",200,1000,180,1.25,2.02623324313798,0.752303770184036,5.12164911614774,1201.14338815523,1
"6","inverted_u_weight",200,1000,180,1.5,1.5518163864816,0.561406746954093,4.75102131505668,1354.27153307034,1
"7","inverted_u_weight",200,1000,180,2,2.39375196645111,1.06668006003628,7.2896467908118,1277.6593760361,1
"8","inverted_u_weight",200,1000,180,2.8,5.06954687943368,2.2074856677573,12.1265804847668,1192.87601175142,1
"9","inverted_u_weight",500,1000,180,1.25,2.78599725000504,1.72870279975779,4.33167999549913,3801.62451463509,1
"10","inverted_u_weight",500,1000,180,1.5,1.44795422617277,0.89721467711634,2.41104434826905,3593.20093844867,1
"11","inverted_u_weight",500,1000,180,2,3.56676042998362,2.27790866796989,5.88887981070959,3787.11054180631,1
"12","inverted_u_weight",500,1000,180,2.8,4.7124134071098,2.60665118804845,7.84927656088389,3862.22440586879,1
"13","inverted_u_weight",1000,1000,180,1.25,1.63068879286914,1.1300356581925,2.39751145008583,8535.50749730069,1
"14","inverted_u_weight",1000,1000,180,1.5,1,1,1,NA,1
"15","inverted_u_weight",1000,1000,180,2,1.82399660873522,1.2958615986849,2.53951752164848,8907.74165240382,1
"16","inverted_u_weight",1000,1000,180,2.8,4.5439691806279,3.05980240060063,6.94493519347268,8831.22844401573,1
"17","inverted_u_weight",2000,1000,180,1.25,1.19847235542496,0.971906000355576,1.45087824628634,19337.9357754488,1
