"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"1","null_weight",100,1000,180,1,0.874393314432555,0.276603935387103,2.08471152833578,557.576642647812,1
"2","null_weight",200,1000,180,1,0.962665627226134,0.445282547736172,1.90012474375168,1204.53284701753,1
"3","null_weight",500,1000,180,1,1.05349540769213,0.615489720403694,1.75334052379842,3932.15830208824,1
"4","null_weight",1000,1000,180,1,1.22050638241866,0.814430946030828,1.82887855838788,8898.58380499909,1
"5","null_weight",2000,1000,180,1,1.07633458328552,0.849436414160672,1.32335671366021,19730.8600222931,1
"6","null_weight",5000,1000,180,1,1.01684457144746,0.889374480644619,1.18472460091916,56060.6036874,1
"7","null_weight",10000,1000,180,1,1.03334479698426,0.936093930747063,1.13963237986388,121002.397635139,1
"8","null_weight",20000,1000,180,1,0.990496724510156,0.918524204880401,1.06186180062944,264240.178939515,1
"9","null_weight",50000,1000,180,1,1,0.941588132784667,1.03243232173918,729989.590751495,1
"10","null_weight",100000,1000,180,1,1,0.978618000592266,1.04580913871315,1569018.9049864,1
"11","null_weight",100,1000,180,1,0.998461835908911,0.233687707662224,2.84191505671865,557.92197715387,2
"12","null_weight",200,1000,180,1,0.676226744819987,0.210915192171817,1.60985119322936,1199.19702832318,2
"13","null_weight",500,1000,180,1,1.12377966516367,0.619593587239873,1.86014932825051,3942.37216914174,2
"14","null_weight",1000,1000,180,1,1.1396045670077,0.717236387536851,1.78050546875122,8875.80980526572,2
"15","null_weight",2000,1000,180,1,1.11191115942172,0.867969718027301,1.40843710770907,19701.9605297241,2
"16","null_weight",5000,1000,180,1,1.03395115434877,0.869750459318521,1.19670146730652,56031.7472824188,2
"17","null_weight",10000,1000,180,1,1.07273536857285,0.95444590355979,1.20939977390119,121072.370245289,2
"18","null_weight",20000,1000,180,1,0.966863126113303,0.882412341581793,1.04887226165844,264408.999471437,2
"19","null_weight",50000,1000,180,1,1.00385955056907,0.954811468298404,1.0556125918181,730136.49841866,2
"20","null_weight",100000,1000,180,1,1,0.970509290623424,1.04643453724708,1568570.55223186,2
"21","null_weight",100,1000,180,1,1.24911998275957,0.116726503645257,5.54336255241726,560.570659773941,3
"22","null_weight",200,1000,180,1,0.642812034223897,0.177355426687135,1.66865015804808,1200.4978929174,3
"23","null_weight",500,1000,180,1,1.22781219765279,0.679762356453393,2.17403995712283,3933.75483502337,3
"24","null_weight",1000,1000,180,1,1.13633132488779,0.70524469816937,1.77455412601292,8900.80564195812,3
"25","null_weight",2000,1000,180,1,1.1725255702196,0.882035718892738,1.56101948952331,19758.9096836395,3
"26","null_weight",5000,1000,180,1,1.02566783514506,0.859266948712558,1.22294685829163,55969.1959516563,3
"27","null_weight",10000,1000,180,1,1.11728910391507,0.991065889227395,1.25737471749063,121056.630449189,3
"28","null_weight",20000,1000,180,1,0.97571034904454,0.890205980339444,1.06902524035336,264397.213315858,3
"29","null_weight",50000,1000,180,1,1.02134150960933,0.965019767399206,1.08142549587766,729755.404023325,3
"30","null_weight",100000,1000,180,1,1,0.961756493509672,1.03927583431606,1569032.28772733,3
