path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization,sum_weight_diff_mean,sum_weight_diff_95p,sum_weight_diff_5p,AUC_diff_mean,AUC_diff_95p,AUC_diff_5p
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps1knots_Right,100,exponential_weight,1000,1,180,Right,6.6240434646606445,1,1.0697712850868701,1.7447944223880767,0.503413736820221,0.3460420465890911,0.8395374791624248,0.031485488074508794
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps1knots_None,100,exponential_weight,1000,1,180,None,7.1020188331604,1,1.5507936858534812,2.2351448535919185,0.8975114345550537,0.40851169879041666,0.9977605172764014,0.030109017926770322
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps2knots_Right,100,exponential_weight,1000,2,180,Right,6.160151720046997,1,1.2457368554770947,1.8867318332195282,0.6534764885902405,0.3826259278330906,0.9367914628263662,0.027168962621260565
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps2knots_None,100,exponential_weight,1000,2,180,None,8.244462251663208,1,1.71498641577363,2.470976662635803,1.0578343212604522,0.410320190481365,0.9837735819581209,0.03789727856037644
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps3knots_Right,100,exponential_weight,1000,3,180,Right,7.191986799240112,1,1.4634026630818844,2.129602789878845,0.8640636503696442,0.3873905241867956,0.9393938673889352,0.02190004587596377
Simulation_results/exponential_weight 100 - 100 000/models/100_exponential_weight_1000bootsraps3knots_None,100,exponential_weight,1000,3,180,None,9.189705848693848,1,1.8350785650014878,2.6549241542816153,1.1110255241394043,0.3931537041269839,1.0366012265998505,0.028380685201773306
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps1knots_Right,500,exponential_weight,1000,1,180,Right,7.954058885574341,1,0.26287241649255155,0.45473983287811265,0.10621800012886524,0.13154027515020938,0.3078712450107314,0.010936364600398462
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps1knots_None,500,exponential_weight,1000,1,180,None,11.415234804153442,1,0.4043119071274996,0.6426493674516677,0.1990484304726124,0.16201210560247456,0.3903295077154325,0.016988681365364754
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps2knots_Right,500,exponential_weight,1000,2,180,Right,9.238436698913574,1,0.3680521109253168,0.6370565503835678,0.17808545157313346,0.15243034829885874,0.3570268578303512,0.012251878538397242
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps2knots_None,500,exponential_weight,1000,2,180,None,12.58342432975769,1,0.655512768894434,0.9980051726102829,0.36850576996803286,0.16422291210701223,0.40715607387282937,0.010313416400094866
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps3knots_Right,500,exponential_weight,1000,3,180,Right,11.09294319152832,1,0.40997060701996085,0.6352960914373397,0.21892571523785592,0.15323378638158835,0.37307882669520037,0.011001481127337698
Simulation_results/exponential_weight 100 - 100 000/models/500_exponential_weight_1000bootsraps3knots_None,500,exponential_weight,1000,3,180,None,14.288862228393555,1,0.663103528007865,0.9881367892026901,0.389214301109314,0.17567291435635343,0.4337726209438187,0.01282310164478986
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps1knots_Right,1000,exponential_weight,1000,1,180,Right,12.61042332649231,1,0.30984473156183956,0.5044382601976395,0.13915997073054315,0.10535023716504778,0.2618961323222322,0.010398160261388512
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps1knots_None,1000,exponential_weight,1000,1,180,None,17.92571187019348,1,0.4784334661513567,0.7092718988656997,0.27448659986257556,0.1477290945237346,0.35179162634776723,0.011122732521107537
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps2knots_Right,1000,exponential_weight,1000,2,180,Right,14.956356048583984,1,0.33812837466597556,0.5053194522857665,0.18346387296915054,0.12192083408021116,0.31453407140251083,0.008868914558303234
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps2knots_None,1000,exponential_weight,1000,2,180,None,20.46704077720642,1,0.4879321951568127,0.725279939174652,0.2756607621908188,0.1412797742959683,0.33440497687406595,0.010914622846576095
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps3knots_Right,1000,exponential_weight,1000,3,180,Right,17.82052230834961,1,0.4673997494503856,0.67516388297081,0.26438270658254626,0.1540022862359175,0.3624930605068584,0.019185061500621714
Simulation_results/exponential_weight 100 - 100 000/models/1000_exponential_weight_1000bootsraps3knots_None,1000,exponential_weight,1000,3,180,None,22.58185362815857,1,0.5390030149966478,0.7652980029582976,0.34066646397113803,0.15171709761410784,0.3720766769893089,0.015240949817780349
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps1knots_Right,5000,exponential_weight,1000,1,180,Right,35.09621524810791,1,0.1416169171780348,0.21772638037800784,0.07812490053474903,0.04601223553988106,0.10906461427436794,0.004617691792827827
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps1knots_None,5000,exponential_weight,1000,1,180,None,48.96715068817139,1,0.17713676740229128,0.2650059938430786,0.09210923388600349,0.06359560951032836,0.1431161232820159,0.00540040989380941
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps2knots_Right,5000,exponential_weight,1000,2,180,Right,42.0566930770874,1,0.15899384435266256,0.2357910834252834,0.0895748320966959,0.04681976947057842,0.11591729954752732,0.003923266096330736
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps2knots_None,5000,exponential_weight,1000,2,180,None,56.20155644416809,1,0.19960364496707916,0.2911093980073929,0.11477558985352516,0.06112041620743776,0.1494999203223415,0.004754041572778079
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps3knots_Right,5000,exponential_weight,1000,3,180,Right,48.77587366104126,1,0.22353647366911172,0.31745402067899703,0.13872498497366906,0.05309801704770962,0.13030344511701056,0.003429870271975233
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps3knots_None,5000,exponential_weight,1000,3,180,None,62.01489067077637,1,0.31161659641563894,0.41345127820968625,0.21434087827801704,0.06747327439826768,0.16525909505980962,0.005744942515411822
