path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization,sum_weight_diff_mean,sum_weight_diff_95p,sum_weight_diff_5p,AUC_diff_mean,AUC_diff_95p,AUC_diff_5p
Simulation_results/multiple weights : 100 - 10000/models/100_bi_linear_weight_1000bootsraps1knots_Right,100,bi_linear_weight,1000,1,180,Right,7.87804102897644,1,2.0052188048362733,2.694850432872772,1.353254008293152,0.39989664739086817,1.062832842863878,0.0305992141711954
Simulation_results/multiple weights : 100 - 10000/models/100_bi_linear_weight_1000bootsraps1knots_None,100,bi_linear_weight,1000,1,180,None,7.843732118606567,1,2.315471261024475,3.144207620620727,1.5625763893127442,0.48487094872944,1.2243339078122513,0.0421465239225654
Simulation_results/multiple weights : 100 - 10000/models/100_bi_linear_weight_1000bootsraps2knots_Right,100,bi_linear_weight,1000,2,180,Right,7.293256044387817,1,2.064130111813545,2.751945912837982,1.4273359298706054,0.4090193840359704,0.9907244120363656,0.03446045513842365
Simulation_results/multiple weights : 100 - 10000/models/100_bi_linear_weight_1000bootsraps2knots_None,100,bi_linear_weight,1000,2,180,None,8.933241367340088,1,2.403706850230694,3.1651367664337156,1.6778438031673433,0.47308800560706643,1.1793156903979252,0.03956201538821915
Simulation_results/multiple weights : 100 - 10000/models/100_bi_linear_weight_1000bootsraps3knots_Right,100,bi_linear_weight,1000,3,180,Right,8.291147708892822,1,2.236700100541115,3.0022429466247558,1.5592339515686036,0.4177927331581721,1.0827956218163308,0.02362574451153705
Simulation_results/multiple weights : 100 - 10000/models/100_bi_linear_weight_1000bootsraps3knots_None,100,bi_linear_weight,1000,3,180,None,10.033041954040527,1,2.5566464961767195,3.402905786037445,1.8315826833248139,0.5076867122586954,1.2847887069889108,0.048087771333666755
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps1knots_Right,100,early_peak_weight,1000,1,180,Right,5.441940546035767,1,1.2700711141228676,1.9142104029655456,0.7383147269487381,0.5368703564501712,1.3133982216968125,0.039758690376342214
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps1knots_None,100,early_peak_weight,1000,1,180,None,7.824913501739502,1,1.7009865818619727,2.449457263946533,1.0362281322479248,0.6756785715812507,1.5912070063166746,0.06267027217822123
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps2knots_Right,100,early_peak_weight,1000,2,180,Right,6.732166767120361,1,1.5651663416624069,2.291698360443115,0.9814852625131607,0.6403641426875063,1.5679157235140708,0.05620274262878239
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps2knots_None,100,early_peak_weight,1000,2,180,None,9.490851640701294,1,2.0277690613269805,2.8491578221321103,1.367797166109085,0.67219261100481,1.6583559195549034,0.06945488818293881
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps3knots_Right,100,early_peak_weight,1000,3,180,Right,8.029943227767944,1,1.6070119547247887,2.261332535743713,0.9958321988582611,0.6267962608048188,1.4736259668188638,0.051546963360468455
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps3knots_None,100,early_peak_weight,1000,3,180,None,9.799012660980225,1,2.1507226026058195,2.9784955620765685,1.491416621208191,0.6943447154845513,1.6890540056201433,0.05358568549215933
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps1knots_Right,100,early_peak_weight,1000,1,180,Right,5.545973300933838,1,1.2700711141228676,1.9142104029655456,0.7383147269487381,0.5368703564501712,1.3133982216968125,0.039758690376342214
Simulation_results/multiple weights : 100 - 10000/models/100_early_peak_weight_1000bootsraps1knots_None,100,early_peak_weight,1000,1,180,None,8.212121963500977,1,1.7009865818619727,2.449457263946533,1.0362281322479248,0.6756785715812507,1.5912070063166746,0.06267027217822123
